epoch,accuracy,loss,val_accuracy,val_loss
0,0.39541497826576233,2.6552491188049316,0.4225706160068512,1.9394794702529907
1,0.4179861843585968,1.953645944595337,0.4240962266921997,1.9317800998687744
2,0.442386656999588,1.8384582996368408,0.47139543294906616,1.7151705026626587
3,0.4664480984210968,1.7370721101760864,0.47227025032043457,1.7157310247421265
4,0.4845989942550659,1.6594992876052856,0.5097228288650513,1.5712934732437134
5,0.5020577311515808,1.589652419090271,0.5093196630477905,1.5715314149856567
6,0.5190078020095825,1.5325168371200562,0.5376501679420471,1.4691729545593262
7,0.5343017578125,1.4734853506088257,0.5382193326950073,1.4690240621566772
8,0.5436977744102478,1.4431164264678955,0.5567453503608704,1.3967642784118652
9,0.5519147515296936,1.4037129878997803,0.5579495429992676,1.3992356061935425
10,0.5616331100463867,1.3772122859954834,0.5714929103851318,1.3481485843658447
11,0.56884765625,1.3474273681640625,0.5729131698608398,1.3474630117416382
12,0.575603187084198,1.3262755870819092,0.5817585587501526,1.312971591949463
13,0.5819091796875,1.3078832626342773,0.5809469819068909,1.3155609369277954
14,0.5844515562057495,1.2942633628845215,0.5900347828865051,1.2893275022506714
15,0.5876813530921936,1.279954195022583,0.5897449254989624,1.2897106409072876
16,0.5911542773246765,1.2711962461471558,0.5925431847572327,1.2776405811309814
17,0.5918492078781128,1.2706987857818604,0.5921980142593384,1.2734363079071045
18,0.5937876105308533,1.2616792917251587,0.5938764810562134,1.2719403505325317
19,0.5927037000656128,1.2594525814056396,0.5936340689659119,1.274196982383728
20,0.5970949530601501,1.2500226497650146,0.5979289412498474,1.2585608959197998
21,0.5947440266609192,1.255567193031311,0.5983057618141174,1.253109097480774
22,0.6007992029190063,1.2368882894515991,0.6028220057487488,1.241748332977295
23,0.6081891655921936,1.2172340154647827,0.6038996577262878,1.2404747009277344
24,0.6035120487213135,1.227422833442688,0.602677047252655,1.2424147129058838
25,0.6071079969406128,1.2162864208221436,0.6042316555976868,1.2344987392425537
26,0.6059551239013672,1.2189887762069702,0.6027060747146606,1.2418097257614136
27,0.6026611328125,1.2304250001907349,0.60416579246521,1.2368474006652832
28,0.6085214614868164,1.2107384204864502,0.6064476370811462,1.2272716760635376
29,0.6076485514640808,1.2113361358642578,0.6075147390365601,1.22528874874115
30,0.6102518439292908,1.2039133310317993,0.6106792688369751,1.218356728553772
31,0.615234375,1.195669412612915,0.6104210615158081,1.2210488319396973
32,0.6105735301971436,1.2032214403152466,0.6069429516792297,1.2269083261489868
33,0.6090611219406128,1.2033774852752686,0.6068612933158875,1.2301899194717407
34,0.6100702881813049,1.2044365406036377,0.6071537733078003,1.227336049079895
35,0.6104561686515808,1.2076095342636108,0.6086345911026001,1.2288987636566162
36,0.6117963194847107,1.1984155178070068,0.6113590598106384,1.2106765508651733
37,0.6164376139640808,1.1873538494110107,0.6115619540214539,1.2153723239898682
38,0.6144086718559265,1.189291000366211,0.6111798882484436,1.2148324251174927
39,0.6180943250656128,1.1812896728515625,0.6114170551300049,1.2155574560165405
40,0.6152873039245605,1.1861019134521484,0.6122865676879883,1.2100555896759033
41,0.6199929118156433,1.1721457242965698,0.6115856766700745,1.2145862579345703
42,0.6156821250915527,1.1854108572006226,0.6125210523605347,1.213677167892456
43,0.6132987141609192,1.1914567947387695,0.6130664944648743,1.2118421792984009
44,0.6171002984046936,1.1798806190490723,0.6159648895263672,1.203755497932434
45,0.6208147406578064,1.1718599796295166,0.6154695153236389,1.2070528268814087
46,0.6175495982170105,1.1785391569137573,0.6149320006370544,1.2048293352127075
47,0.6207450032234192,1.17660391330719,0.613949179649353,1.2110058069229126
48,0.6189273595809937,1.1740087270736694,0.6142311096191406,1.2070096731185913
49,0.6216866374015808,1.1707264184951782,0.6151691675186157,1.2031755447387695
50,0.6195998787879944,1.1712552309036255,0.6185839772224426,1.1950833797454834
